rs28933979	TTR
rs11172113	LRP1
rs4680	COMT
rs10166942	TRPM8
rs1835740	PGCP
rs8192678	PGC1a
rs1800566	NQO1
rs4880	SOD2
rs17602729	AMPD
rs806368	CNR1
rs2023239	CNR1
rs1045642	ABCB1
rs324420	FAAH
rs2494732	AKT1
rs1076560	DRD2
rs17878459	CYP2C19
rs4986893	CYP2C19
rs56337013	CYP2C19
rs72552267	CYP2C19
rs72558186	CYP2C19
rs41291556	CYP2C19
rs12248560	CYP2C19
rs35599367	CYP3A4
rs12721629	CYP3A4
rs55785340	CYP3A4
rs67784355	CYP3A4
rs58597806	UGT1A9
rs1057910	CYP2C9
rs28371685	CYP2C9
rs28371686	CYP2C9
rs72558189	CYP2C9
rs1799853	CYP2C9
rs72558187	CYP2C9
rs762551	CYP1A2
rs12720461	CYP1A2
rs2069526	CYP1A2
rs56276455	CYP1A2
rs28399424	CYP1A2
rs72547513	CYP1A2
rs681524	SIK3
rs1801260	CLOCK
rs228697	PER3
rs1800012	COL1A1
rs2073711	CILP
rs6277	DRD2
rs197273	TANK
rs1800497	DRD2
rs838133	FGF21
rs2472297	CYP1A1
rs713598	TAS2R38
rs17782313	MC4R
rs2036527	CHRNA5
rs1260326	GCKR
rs1229984	ADH1B
rs492602	FUT2
rs2232165	GHS-R1A
rs1799971	OPRM1
rs662799	APOA5
rs2287926	VCAN
rs894160	PLIN1
rs9939609	FTO
rs1421085	FTO
rs1121980	FTO
rs55872725	FTO
rs17817449	FTO
rs9941349	FTO
rs1137101	LEPR
rs5082	APOA2
rs10871777	MC4R
rs2073082	PNPLA3
rs6006460	PNPLA3
rs2281135	PNPLA3
rs814295	GCKR
rs7946	PEMT
rs2076212	PNPLA3
rs4646404	PEMT
rs738409	PNPLA3
rs2896019	PNPLA3
rs2294915	PNPLA3
rs146175795	GCKR
rs780094	GCKR
rs780093	GCKR
rs780092	GCKR
rs58542926	TM6SF2
rs2228603	NCAN
rs12970134	MC4R
rs6265	BDNF
rs9923231	VKORC1
rs1142345	TPMT
rs1800462	TPMT
rs1800584	TPMT
rs2108622	CYP4F2
rs4149056	SLCO1B1
rs9934438	VKORC1
rs2231142	ABCG2
rs2032582	ABCB1
rs7412	APOE
rs11212617	ATM
rs11615	ERCC1
rs1433099	LDLR
rs1532624	CETP
rs1695	GSTP1
rs17238540	HMGCR
rs17671591	HMGCR
rs17708472	VKORC1
rs1801282	PPARG
rs1870377	KDR
rs2070744	NOS3
rs2071559	KDR
rs2305948	KDR
rs2359612	VKORC1
rs28399499	CYP2B6
rs2884737	VKORC1
rs3745274	CYP2B6
rs4148323	UGT1A1
rs4604006	VEGFC
rs61742245	VKORC1
rs7294	VKORC1
